w_policy,w_adoption,w_media,spearman_rho
0.25,0.25,0.5,0.941
0.25,0.3,0.45,0.958
0.25,0.35,0.4,0.966
0.25,0.4,0.35,0.945
0.25,0.45,0.3,0.935
0.25,0.5,0.25,0.93
0.25,0.55,0.2,0.931
0.3,0.25,0.45,0.959
0.3,0.3,0.4,0.974
0.3,0.35,0.35,0.979
0.3,0.4,0.3,0.984
0.3,0.45,0.25,0.982
0.3,0.5,0.2,0.959
0.3,0.55,0.15,0.951
0.35,0.25,0.4,0.959
0.35,0.3,0.35,0.978
0.35,0.35,0.3,0.993
0.35,0.4,0.25,0.99
0.35,0.45,0.2,0.99
0.35,0.5,0.15,0.982
0.35,0.55,0.1,0.964
0.4,0.25,0.35,0.957
0.4,0.3,0.3,0.983
0.4,0.35,0.25,0.995
0.4,0.4,0.2,1.0
0.4,0.45,0.15,0.993
0.4,0.5,0.1,0.98
0.4,0.55,0.05,0.967
0.45,0.25,0.3,0.956
0.45,0.3,0.25,0.978
0.45,0.35,0.2,0.994
0.45,0.4,0.15,0.995
0.45,0.45,0.1,0.985
0.45,0.5,0.05,0.976
0.5,0.25,0.25,0.95
0.5,0.3,0.2,0.973
0.5,0.35,0.15,0.987
0.5,0.4,0.1,0.989
0.5,0.45,0.05,0.98
0.55,0.25,0.2,0.944
0.55,0.3,0.15,0.945
0.55,0.35,0.1,0.978
0.55,0.4,0.05,0.968
